policy,seed,condition,detectedAt,missed,detectionRate,handoffAt,handoffRate,meanCappedS,rmseM,custodyPct,postTowerSamples,postTowerCustodySamples,falseConfirmations
"baseline","592091","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592092","haze","170","false","100",,"0","170","19.87844120579922","0","0","0","0"
"baseline","592093","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592094","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592095","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592096","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592097","haze","30","false","100",,"0","30","49.83915347773588","0","15","0","0"
"baseline","592098","glare","115","false","100",,"0","115","220.47833254129864","0","2","0","0"
"baseline","592099","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592100","clear","55","false","100","85","100","55","14.93292802593201","13.114754098360656","0","0","0"
"baseline","592101","clear","50","false","100","110","100","50","11.529197766412036","9.836065573770492","0","0","0"
"baseline","592102","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592103","clear","90","false","100",,"0","90","24.4045830291509","0","0","0","0"
"baseline","592104","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592105","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592106","clear","85","false","100","105","100","85","31.18231375289376","4.918032786885246","0","0","0"
"baseline","592107","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592108","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592109","glare","175","false","100",,"0","175","65.04931542899116","0","0","0","0"
"baseline","592110","clear","120","false","100","285","100","120","44.58967382576931","6.557377049180328","0","0","0"
"baseline","592111","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592112","glare","265","false","100",,"0","265","94.4046171239618","0","0","0","0"
"baseline","592113","clear","105","false","100","115","100","105","15.666668073032415","13.114754098360656","0","0","0"
"baseline","592114","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592115","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592116","glare",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592117","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592118","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592119","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592120","clear",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592121","clear","175","false","100",,"0","175","27.025800851078834","0","0","0","0"
"baseline","592122","haze",,"true","0",,"0","300",,"0","0","0","0"
"baseline","592123","haze","275","false","100",,"0","275","27.058167136519568","0","0","0","0"
"baseline","592124","haze","250","false","100",,"0","250","183.22990313358747","0","0","0","0"
"baseline","592125","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591926","haze","20","false","100","120","100","20","32.739973632881636","42.62295081967213","0","0","0"
"untrained","591927","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591928","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591929","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591930","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591931","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591932","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591933","haze","125","false","100","155","100","125","28.244121928564468","24.59016393442623","0","0","0"
"untrained","591934","clear","50","false","100","80","100","50","10.180359284488095","65.57377049180327","0","0","0"
"untrained","591935","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591936","haze","95","false","100","255","100","95","46.59156725155857","16.39344262295082","0","0","0"
"untrained","591937","clear","55","false","100","75","100","55","18.25802087032603","67.21311475409836","23","23","0"
"untrained","591938","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591939","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591940","haze",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591941","clear",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591942","glare",,"true","0",,"0","300",,"0","0","0","0"
"untrained","591943","haze",,"true","0",,"0","300",,"0","0","0","0"
